Family,Genus,Species,Common,Common,Body Mass (kg),FMR KJ/day),Method,Source1,Source2,,
 Rodentia,Peromyscus,maniculatus,Deer,mouse,0.018,12.8,measurement,41,65,,
 Rodentia,Praomys,natalensis,Multi-mammate,mouse,0.057,20.8,measurement,38,65,,
 Rodentia,Psammomys,obesus,Fat,sand rat,0.17,39.6,measurement,25,65,,
 Rodentia,Sciurus,carolinensis,Eastern,gray squirrel,0.59,139.3,measurement,10,46,,
 Rodentia,Sekeetamys,calurus,Bushy-tailed,jird,0.041,10.6,measurement,26,65,,
 Rodentia,Spermophilus,parryi,Arctic,ground squirrel,0.63,196.1,measurement,23,65,,
 Rodentia,Spermophilus,saturatus,Golden-mantled,ground squirrel,0.21,54.2,measurement,48,65,,
 Rodentia,Tamias,striatus,Eastern,chipmunk,0.096,34.4,measurement,76,46,,
 Rodentia,Thomomys,bottae,Botta's,pocket gopher,0.1,31.2,measurement,34,65,,
 Soricomorpha,Sorex,araneus,Common,shrew,0.008,13,measurement,70,46,,
,,,African,Elephant,1542,133200,measurement,Langman,,,
