tag,weight,IBI
tt14_126b,291,15
tt14_126b,291,11
tt14_126b,291,14.9
tt14_126b,291,8.1
tt14_126b,291,16.3
tt14_126b,291,12.7
tt14_126b,291,13.7
tt14_126b,291,9.1
tt14_126b,291,7.2
tt14_126b,291,6.6
tt14_126b,291,13.5
tt14_126b,291,5
tt14_126b,291,12.8
tt14_126b,291,13.8
tt14_126b,291,5.7
tt14_126b,291,6.3
tt14_126b,291,10
tt14_126b,291,14.8
tt14_126b,291,15.3
tt14_126b,291,12.6
tt14_126b,291,5.8
tt14_126b,291,10.1
tt14_126b,291,12.3
tt14_126b,291,6.2
tt14_126b,291,9.2
tt14_126b,291,9.1
tt14_126b,291,15.4
tt14_126b,291,11.5
tt14_126b,291,7
tt14_126b,291,11.9
tt14_126b,291,9
tt14_126b,291,11.3
tt14_126b,291,17.7
tt14_126b,291,15.3
tt14_126b,291,8
tt14_126b,291,12.8
tt14_126b,291,15.3
tt14_126b,291,11.3
tt14_126b,291,23.3
tt14_126b,291,25.9
tt14_126b,291,27.8
tt14_126b,291,22.8
tt14_126b,291,35.2
tt14_126b,291,15.3
tt14_126b,291,33.3
tt14_126b,291,16.8
tt14_126b,291,27.6
tt14_126b,291,29.4
tt14_126b,291,26.1
tt14_126b,291,24.2
tt14_126b,291,6.5
tt14_126b,291,10.6
tt14_126b,291,38.8
tt14_126b,291,19.2
tt14_126b,291,16.8
tt14_126b,291,18.8
tt14_126b,291,19.5
tt14_126b,291,13.7
tt14_126b,291,27.5
tt14_126b,291,20.3
tt14_126b,291,22.1
tt14_126b,291,17.2
tt14_126b,291,16.7
tt14_126b,291,14.4
tt14_126b,291,42.5
tt14_126b,291,58.5
tt14_126b,291,10.8
tt14_126b,291,47.1
tt14_126b,291,7.7
tt14_126b,291,26.7
tt14_126b,291,35.5
tt14_126b,291,13.5
tt14_126b,291,9.5
tt14_126b,291,93.7
tt14_126b,291,14.4
tt14_126b,291,12.8
tt14_126b,291,17.2
tt14_126b,291,18.3
tt14_126b,291,19.9
tt14_126b,291,19.2
tt14_126b,291,28
tt14_126b,291,27.9
tt14_126b,291,34.5
tt14_126b,291,34.3
tt14_126b,291,32.1
tt14_126b,291,16.2
tt14_126b,291,16.8
tt14_126b,291,45.1
tt14_126b,291,19
tt14_126b,291,15.7
tt14_126b,291,32.2
tt14_126b,291,15
tt14_126b,291,129.1
tt14_126b,291,9.9
tt14_126b,291,8.6
tt14_126b,291,10.2
tt14_126b,291,9.5
tt14_126b,291,64.6
tt14_126b,291,12.1
tt14_126b,291,11.9
tt14_126b,291,57.1
tt14_126b,291,105.7
tt14_126b,291,7.7
tt14_126b,291,8.6
tt14_126b,291,11.7
tt14_126b,291,74.2
tt14_126b,291,15.9
tt14_126b,291,14.7
tt14_126b,291,19.7
tt14_126b,291,18.3
tt14_126b,291,22.6
tt14_126b,291,22.4
tt14_126b,291,38.6
tt14_126b,291,29.1
tt14_126b,291,29.5
tt14_126b,291,33.7
tt14_126b,291,31.8
tt14_126b,291,52.8
tt14_126b,291,13.4
tt14_126b,291,48.8
tt14_126b,291,37.1
tt14_126b,291,72.6
tt14_126b,291,32.3
tt14_126b,291,16.8
tt14_126b,291,14.5
tt14_126b,291,15
tt14_126b,291,80.3
tt14_126b,291,13.6
tt14_126b,291,15.1
tt14_126b,291,65.9
tt14_126b,291,12.9
tt14_126b,291,11.7
tt14_126b,291,77.6
tt14_126b,291,17.2
tt14_126b,291,76.4
tt14_126b,291,14.1
tt14_126b,291,13.6
tt14_126b,291,59.9
tt14_126b,291,14.5
tt14_126b,291,16.7
tt14_126b,291,27.4
tt14_126b,291,29.6
tt14_126b,291,13
tt14_126b,291,25.2
tt14_126b,291,15.3
tt14_126b,291,128.5
tt14_126b,291,12.5
tt14_126b,291,11.9
tt14_126b,291,18.9
tt14_126b,291,55.7
tt14_126b,291,12
tt14_126b,291,11.9
tt14_126b,291,98.3
tt14_126b,291,15.2
tt14_126b,291,14
tt14_126b,291,13.7
tt14_126b,291,127.2
tt14_126b,291,11.7
tt14_126b,291,12.9
tt14_126b,291,14.2
tt14_126b,291,102.8
tt14_126b,291,22.7
tt14_126b,291,18.3
tt14_126b,291,79.7
tt14_126b,291,14.7
tt14_126b,291,15.5
tt14_126b,291,112.4
tt14_126b,291,13.8
tt14_126b,291,50.6
tt14_126b,291,10.3
tt14_126b,291,9.7
tt14_126b,291,12.2
tt14_126b,291,11.3
tt14_126b,291,11.5
tt14_126b,291,118.6
tt14_126b,291,14.6
tt14_126b,291,17.1
tt14_126b,291,32.1
tt14_126b,291,40.8
tt14_126b,291,24.1
tt14_126b,291,25.4
tt14_126b,291,19.4
tt14_126b,291,26.4
tt14_126b,291,32.3
tt14_126b,291,35.1
tt14_126b,291,44.3
tt14_126b,291,23.9
tt14_126b,291,13.3
tt14_126b,291,35.5
tt14_126b,291,42.9
tt14_126b,291,38.3
tt14_126b,291,55.7
tt14_126b,291,61.5
tt14_126b,291,12.9
tt14_126b,291,11.4
tt14_126b,291,40.9
tt14_126b,291,14.2
tt14_126b,291,85.2
tt14_126b,291,9.9
tt14_126b,291,13.2
tt14_126b,291,59.1
tt14_126b,291,14.1
tt14_126b,291,13.2
tt14_126b,291,11.1
tt14_126b,291,101.2
tt14_126b,291,20.7
tt14_126b,291,14.3
tt14_126b,291,84
tt14_126b,291,7.7
tt14_126b,291,11.1
tt14_126b,291,94.1
tt14_126b,291,10.8
tt14_126b,291,66
tt14_126b,291,12.9
tt14_126b,291,9.3
tt14_126b,291,122.2
tt14_126b,291,9.8
tt14_126b,291,9.7
tt14_126b,291,9.2
tt14_126b,291,120.4
tt14_126b,291,9.3
tt14_126b,291,14.8
tt14_126b,291,15
tt14_126b,291,17.6
tt14_126b,291,83
tt14_126b,291,11.6
tt14_126b,291,16.5
tt14_126b,291,12.5
tt14_126b,291,118.1
tt14_126b,291,23.7
tt14_126b,291,9.5
tt14_126b,291,14.1
tt14_126b,291,14.7
tt14_126b,291,13.3
tt14_126b,291,69.7
tt14_126b,291,17.1
tt14_126b,291,35.6
tt14_126b,291,34.1
tt14_126b,291,34.5
tt14_126b,291,20.5
tt14_126b,291,40.7
tt14_126b,291,56.1
tt14_126b,291,19.1
tt14_126b,291,27.6
tt14_126b,291,31.6
tt14_126b,291,56.2
tt14_126b,291,18.8
tt14_126b,291,20.8
tt14_126b,291,16.1
tt14_126b,291,12.4
tt14_126b,291,83.1
tt14_126b,291,10.2
tt14_126b,291,14.6
tt14_126b,291,14.8
tt14_126b,291,68.9
tt14_126b,291,73.9
tt14_126b,291,9.3
tt14_126b,291,34.1
tt14_126b,291,16.6
tt14_126b,291,14.4
tt14_126b,291,16.2
tt14_126b,291,24.9
tt14_126b,291,77.2
tt14_126b,291,12.7
tt14_126b,291,15.4
tt14_126b,291,16.6
tt14_126b,291,16.1
tt14_126b,291,95.2
tt14_126b,291,12.6
tt14_126b,291,47.9
tt14_126b,291,20.9
tt14_126b,291,15.1
tt14_126b,291,40
tt14_126b,291,11.7
tt14_126b,291,44.3
tt14_126b,291,15.8
tt14_126b,291,28.3
tt14_126b,291,33.8
tt14_126b,291,59.3
tt14_126b,291,13.4
tt14_126b,291,14.8
tt14_126b,291,19.7
tt14_126b,291,76.3
tt14_126b,291,13.2
tt14_126b,291,19.1
tt14_126b,291,54.2
tt14_126b,291,27.2
