Family,Genus,Species,Common,Common,Common,Body Mass (kg),FMR KJ/day),Method,Source1,Source2,,,,
Phocidae,Pagophilus,groenlandicus ,Harp,seal,,105,4158.9,?,Y,Y,Y,Y,204,2
Phocidae,Pagophilus,groenlandicus ,Harp,seal,,105,3561.1,?,Y,Y,Y,Y,148,
Phocidae,Pagophilus,groenlandicus ,Harp,seal,,105,2451.5,?,Y,Y,Y,Y,148,
Phocidae,Pagophilus,groenlandicus ,Harp,seal,,140.7,2807,water,Y,Y,Y,Y,78,
Phocidae,Pagophilus,groenlandicus ,Harp,seal,,150,3403.8,water,Y,Y,Y,Y,79,
Phocidae,Phoca,fasciata ,Ribbon,seal,,54,2438.2,air,Y,N,Y,?,130,4
Phocidae,Phoca,vitulina ,Harbor,seal,,11,1018.8,air,Y,N,Y,N,187,3
Phocidae,Phoca,vitulina ,Harbor,seal,,13,1113.8,water,Y,N,Y,N,188,3
Phocidae,Phoca,vitulina ,Harbor,seal,,19,580,air,Y,N,Y,Y,130,3
Phocidae,Phoca,vitulina ,Harbor,seal,,19.4,2063.1,both,Y,N,Y,N,126,3
Phocidae,Phoca,vitulina ,Harbor,seal,,20,1389.3,both,Y,N,Y,N,103,3
Phocidae,Phoca,vitulina ,Harbor,seal,,22.7,1314.1,air,Y,N,Y,N,187,3
Phocidae,Phoca,vitulina ,Harbor,seal,,22.8,1444.9,both,Y,N,Y,N,103,3
Phocidae,Phoca,vitulina ,Harbor,seal,,24.4,1507.4,both,Y,N,Y,N,103,3
Phocidae,Phoca,vitulina ,Harbor,seal,,25.1,1437.9,both,Y,N,Y,N,103,3
Phocidae,Phoca,vitulina ,Harbor,seal,,26.8,1597.7,both,Y,N,Y,N,126,3
Phocidae,Phoca,vitulina ,Harbor,seal,,27.4,1506.2,both,?,N,Y,N,103,4
Phocidae,Phoca,vitulina ,Harbor,seal,,27.4,1479.6,both,Y,N,Y,N,103,3
Phocidae,Phoca,vitulina ,Harbor,seal,,29.1,1400.1,air,Y,N,?,Y,99,2
Phocidae,Phoca,vitulina ,Harbor,seal,,31.3,1847.8,both,Y,N,Y,N,126,3
Phocidae,Phoca,vitulina ,Harbor,seal,,31.7,1521.3,both,Y,N,Y,N,103,3
Phocidae,Phoca,vitulina ,Harbor,seal,,32,3153.3,water,Y,N,Y,Y,269,2
Phocidae,Phoca,vitulina ,Harbor,seal,,32.8,1646.3,both,Y,N,Y,N,103,3
Phocidae,Phoca,vitulina ,Harbor,seal,,33,1139.9,water,Y,N,Y,Y,55,2
Phocidae,Phoca,vitulina ,Harbor,seal,,35.6,1993.7,both,Y,N,Y,N,126,3
Phocidae,Phoca,vitulina ,Harbor,seal,,40,1875.6,water,N,N,Y,N,52,3
Phocidae,Phoca,vitulina ,Harbor,seal,,41,2306.3,both,Y,N,Y,N,126,3
Phocidae,Phoca,vitulina ,Harbor,seal,,45,1736.6,water,N,N,Y,N,52,3
Phocidae,Phoca,vitulina ,Harbor,seal,,63,1961.8,water,Y,Y,Y,Y,55,2
Phocidae,Phoca,vitulina ,Harbor,seal,,98,2684.5,air,Y,Y,Y,Y,164,2
Phocidae,Phoca,vitulina ,Harbor,seal,,98,2422,air,Y,Y,Y,N,164,3
Phocidae,Pusa,hispida ,Ringed,seal,,32,730.5,?,Y,Y,Y,Y,148,
Phocidae,Pusa,hispida ,Ringed,seal,,38.5,797.4,?,Y,Y,Y,Y,148,
Phocidae,Pusa,hispida ,Ringed,seal,, 41.0,806.9,?,Y,Y,Y,Y,148,
